#{"t_start": 1692689868.0093281, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.027501
38.0,38,0.12077
18.0,18,0.194582
36.0,36,0.27837
16.0,16,0.289342
22.0,22,0.365151
24.0,24,0.440958
30.0,30,0.519758
126.0,126,0.833962
72.0,72,0.994555
22.0,22,1.066373
181.0,181,1.465806
140.0,140,1.846051
195.0,195,2.315885
479.0,479,3.484815
87.0,87,3.653464
212.0,212,4.192581
263.0,263,4.815448
500.0,500,6.045397
190.0,190,6.505968
180.0,180,6.901474
207.0,207,7.427672
97.0,97,8.329626
261.0,261,8.949057
500.0,500,11.981187
